都道府県ID,店名,電話番号,体験
13,"LE LABO ルラボ 代官山","+81 3-5459-2770",true
13,"SHOLAYERED(LAYERED FRAGRANCE)本店｜ショーレイヤード","+81 3-3780-0825",true
13,リベルタパフューム中目黒店,"+81 3-6447-0782",true
13,"FINCA (フィンカ) 新宿本店","+81 3-6709-8952",true
13,"NOSE SHOP 渋谷","+81 3-6427-3350",false
13,"Diptyque Aoyama","+81 3-6427-3473",false
13,"NOSE SHOP 新宿","+81 3-5357-7707",false
13,薫り創作専門店「Sokun」,"+81 70-9080-8259",true
13,"LE LABO ル ラボ 青山","+81 3-6419-7167",true
13,KO-GU（コーグ）新宿,"+81 3-6279-0112",false
13,"retaW store HARAJUKU","+81 3-6804-5470",false
13,"Jo Malone London Omotesando ジョー マローン ロンドン 表参道","+81 3-5413-5074",false
13,"LE LABO ル ラボ 原宿","+81 3-6721-1322",true
13,"LINARI 表参道","+81 3-6438-9625",false
13,"メゾン マルジェラ「レプリカ」フレグランス ストア","+81 3-6427-2823",false
13,"THE FLAVOR DESIGN STORE TOKYO","+81 3-6421-0917",true
13,"pallumer パリュメール 代官山本店","+81 3-6455-2867",false
13,"LE LABO ル ラボ 下北沢","+81-3-6804-9010",true
13,"primaniacs銀座本店","+81-3-6263-0418",false
13,"FOUGÈRES FRAGRANCE","+81-50-3033-0168",true
13,"調香専門店 FUKUSHI 馥至","+81 70-9281-5778",true
13,"APFR TOKYO","+81-3-5738-8641",false
13,"hibi 10MINUTES AROMA STORE TOKYO","+81-3-5829-6306",false
